Video ID,YouTube Link,Language(s),Category,Notes
aOwmt39L2IQ,https://www.youtube.com/watch?v=aOwmt39L2IQ,English,Educational,Kurzgesagt(verbal)
m6KnVTYtSc0,https://www.youtube.com/watch?v=m6KnVTYtSc0,English,Educational,
dCiMUWw1BBc,https://www.youtube.com/watch?v=dCiMUWw1BBc,English,Educational,
5sVfTPaxRwk,https://www.youtube.com/watch?v=5sVfTPaxRwk,English,Educational,
c1nYtX-NUsc,https://www.youtube.com/watch?v=c1nYtX-NUsc,English,Educational,
AGglJehON5g,https://www.youtube.com/watch?v=AGglJehON5g,English,Educational,
P_fHJIYENdI,https://www.youtube.com/watch?v=P_fHJIYENdI,English,Educational,Veritasium(verbal)
_cr46G2K5Fo,https://www.youtube.com/watch?v=_cr46G2K5Fo,English,Educational,
24GfgNtnjXc,https://www.youtube.com/watch?v=24GfgNtnjXc,English,Educational,
d6iQrh2TK98,https://www.youtube.com/watch?v=d6iQrh2TK98,English,Educational,
Hy-Oukq40OE,https://www.youtube.com/watch?v=Hy-Oukq40OE,Korean,Sports,
aTTOQtSOX3I,https://www.youtube.com/watch?v=aTTOQtSOX3I,English,Sports,Soccer(both)
oEL87WwnrsI,https://www.youtube.com/watch?v=oEL87WwnrsI,English,Sports,
QOsBtei_G8g,https://www.youtube.com/watch?v=QOsBtei_G8g,English,Sports,
b53ZZXpUZcs,https://www.youtube.com/watch?v=b53ZZXpUZcs,English,Sports,
FUbWvpSv6LI,https://www.youtube.com/watch?v=FUbWvpSv6LI,English,Sports,
ngddfxog-yw,https://www.youtube.com/watch?v=ngddfxog-yw,Non-Verbal,Sports,Ski(non-verbal)
EzGPmg4fFL8,https://www.youtube.com/watch?v=EzGPmg4fFL8,English,Sports,
1CR0QmCaMTs,https://www.youtube.com/watch?v=1CR0QmCaMTs,English,Sports,
8FQeCnF4sgE,https://www.youtube.com/watch?v=8FQeCnF4sgE,English,Sports,
xQ_IQS3VKjA,https://www.youtube.com/watch?v=xQ_IQS3VKjA,English,Sports,
Jk7rliZpuSs,https://www.youtube.com/watch?v=Jk7rliZpuSs,Non-Verbal,Sports,Biking(non-verbal)
ZDbNe3mS0aw,https://www.youtube.com/watch?v=ZDbNe3mS0aw,English,Sports,
qz5wbZB5FBA,https://www.youtube.com/watch?v=qz5wbZB5FBA,English,Sports,
_H9ucMJfmpU,https://www.youtube.com/watch?v=_H9ucMJfmpU,English,Sports,
o38dGMq2xu8,https://www.youtube.com/watch?v=o38dGMq2xu8,English,Sports,
Fx-D8WUm5FA,https://www.youtube.com/watch?v=Fx-D8WUm5FA,English,News,CNN(verbal)
Tw8oyKxP4y4,https://www.youtube.com/watch?v=Tw8oyKxP4y4,English,News,
fQce9gIbEpE,https://www.youtube.com/watch?v=fQce9gIbEpE,English,News,
wz_42pckM7w,https://www.youtube.com/watch?v=wz_42pckM7w,English,News,
NxFkEj7KPC0,https://www.youtube.com/watch?v=NxFkEj7KPC0,English,News,
xOqsqA4UTgk,https://www.youtube.com/watch?v=xOqsqA4UTgk,English,News,Global News(verbal)
ljlxhowP5E0,https://www.youtube.com/watch?v=ljlxhowP5E0,English,News,
rdJZzBS7zQE,https://www.youtube.com/watch?v=rdJZzBS7zQE,English,News,
kvPbz9wyycA,https://www.youtube.com/watch?v=kvPbz9wyycA,English,News,
0no7JKSegDE,https://www.youtube.com/watch?v=0no7JKSegDE,English,Makeup,
J8yiHiDc2vc,https://www.youtube.com/watch?v=J8yiHiDc2vc,Korean,Makeup,makeup(non-verbal)
U2h2he09AEk,https://www.youtube.com/watch?v=U2h2he09AEk,Korean,Makeup,verbal
SWWojGSSof4,https://www.youtube.com/watch?v=SWWojGSSof4,Korean,TV Program,korean spoken by non korean
JJwdvuhDUD0,https://www.youtube.com/watch?v=JJwdvuhDUD0,Korean,TV Program,korean spoken by non korean
iLI4ogjeU4c,https://www.youtube.com/watch?v=iLI4ogjeU4c,Korean,TV Program,korean spoken by non korean
Sg_9IEs8Tb0,https://www.youtube.com/watch?v=Sg_9IEs8Tb0,Korean,Series,
jVjQQDSj2yc,https://www.youtube.com/watch?v=jVjQQDSj2yc,Korean,Series,드라마(verbal)
xseiHrns8RM,https://www.youtube.com/watch?v=xseiHrns8RM,Korean,Series,
K6XfD1_cgBc,https://www.youtube.com/watch?v=K6XfD1_cgBc,Korean,Series,
Ox29z5Nf1Uk,https://www.youtube.com/watch?v=Ox29z5Nf1Uk,"Korean,English",Music,music performance(both)
IiMSmriHe4I,https://www.youtube.com/watch?v=IiMSmriHe4I,"Korean,English",Music,
KDorKy-13ak,https://www.youtube.com/watch?v=KDorKy-13ak,English,Music,
HjBo--1n8lI,https://www.youtube.com/watch?v=HjBo--1n8lI,English,Music,
OvIk6BDkVE4,https://www.youtube.com/watch?v=OvIk6BDkVE4,Korean,Music,
6RQ-bBdASvk,https://www.youtube.com/watch?v=6RQ-bBdASvk,Korean,Music,
WmrK-G7R7vk,https://www.youtube.com/watch?v=WmrK-G7R7vk,English,Gaming,game play(verbal)
cKa9at4JOm4,https://www.youtube.com/watch?v=cKa9at4JOm4,Korean,Gaming,
xdfVomq3lAc,https://www.youtube.com/watch?v=xdfVomq3lAc,Korean,Gaming,
8qGCleYV4cw,https://www.youtube.com/watch?v=8qGCleYV4cw,English,Gaming,
atbMxl9E9G4,https://www.youtube.com/watch?v=atbMxl9E9G4,Korean,Lecture,lecture(verbal)
zhbr526sOCg,https://www.youtube.com/watch?v=zhbr526sOCg,Korean,Lecture,
if9v9Ug1zZ0,https://www.youtube.com/watch?v=if9v9Ug1zZ0,Korean,Lecture,
XfHXLdhBpzs,https://www.youtube.com/watch?v=XfHXLdhBpzs,Korean,Lecture,
202fU9qIVK4,https://www.youtube.com/watch?v=202fU9qIVK4,English,Lecture,
ekcVpZZGBCs,https://www.youtube.com/watch?v=ekcVpZZGBCs,Korean,Review,
4oAG8DUmiFE,https://www.youtube.com/watch?v=4oAG8DUmiFE,Korean,Lecture,
M9PYVGF3qrU,https://www.youtube.com/watch?v=M9PYVGF3qrU,Non-Verbal,Other,ASMR(non verbal)
lArqN_zu5tw,https://www.youtube.com/watch?v=lArqN_zu5tw,Non-Verbal,Other,
VsHyWyLwxDg,https://www.youtube.com/watch?v=VsHyWyLwxDg,Non-Verbal,Other,
ptfWZs7ZdXE,https://www.youtube.com/watch?v=ptfWZs7ZdXE,Non-Verbal,Other,
0DwFOQeUkuI,https://www.youtube.com/watch?v=0DwFOQeUkuI,Korean,Sports,bbc korea(verbal)
8AxZVM4GndE,https://www.youtube.com/watch?v=8AxZVM4GndE,Korean,News,korean news(verbal)
6K_P3geJTls,https://www.youtube.com/watch?v=6K_P3geJTls,Korean,Vlog,vlog(korean)
kshqQSqIW9M,https://www.youtube.com/watch?v=kshqQSqIW9M,Korean,Other,
pW3tiMbrmxk,https://www.youtube.com/watch?v=pW3tiMbrmxk,Korean,Other,
tgnitAnm54k,https://www.youtube.com/watch?v=tgnitAnm54k,"Korean,English",TV Program,예능(korean)
H8BqV91Mhe0,https://www.youtube.com/watch?v=H8BqV91Mhe0,Korean,TV Program,
3ur-19op4FY,https://www.youtube.com/watch?v=3ur-19op4FY,Korean,TV Program,
ln7CLzjGL1o,https://www.youtube.com/watch?v=ln7CLzjGL1o,Korean,TV Program,
IEVXuf3KoYc,https://www.youtube.com/watch?v=IEVXuf3KoYc,Korean,TV Program,
kM9heaKM2pU,https://www.youtube.com/watch?v=kM9heaKM2pU,Korean,News,korean news(Verbal)
glVXglyX9TQ,https://www.youtube.com/watch?v=glVXglyX9TQ,Korean,TV Program,동물농장(verbal)
077BgT3h6As,https://www.youtube.com/watch?v=077BgT3h6As,Non-Verbal,Performance,music(non verbal)
97_VJve7UVc,https://www.youtube.com/watch?v=97_VJve7UVc,Non-Verbal,Music,
9XcBXUVszUQ,https://www.youtube.com/watch?v=9XcBXUVszUQ,Non-Verbal,Music,
3u-unvYedx8,https://www.youtube.com/watch?v=3u-unvYedx8,Non-Verbal,Music,
p0FY6Cj6C_4,https://www.youtube.com/watch?v=p0FY6Cj6C_4,Non-Verbal,Music,
Zge2dQ-wEJg,https://www.youtube.com/watch?v=Zge2dQ-wEJg,Korean,Documentary,다큐(verbal)
qcQQ4NUUHdc,https://www.youtube.com/watch?v=qcQQ4NUUHdc,Korean,Documentary,
QTmEdbpJKv0,https://www.youtube.com/watch?v=QTmEdbpJKv0,Korean,Documentary,
m1IUGdK7X0U,https://www.youtube.com/watch?v=m1IUGdK7X0U,English,Documentary,national geographic(verbal)
3Rf0dIk_Eec,https://www.youtube.com/watch?v=3Rf0dIk_Eec,Non-Verbal,TV Program,non-verbal
HjGF1ga1ijc,https://www.youtube.com/watch?v=HjGF1ga1ijc,Korean,TV Program,SNL Korea(verbal)
9ybpxifhybM,https://www.youtube.com/watch?v=9ybpxifhybM,Korean,TV Program,"개그콘서트(verbal,old)"
3sxRAeh8f7w,https://www.youtube.com/watch?v=3sxRAeh8f7w,English,TV Program,SNL(verbal)
gqCUZiXNcQo,https://www.youtube.com/watch?v=gqCUZiXNcQo,English,TV Program,chicken shop date(verbal)
Zt_snmlE8Dg,https://www.youtube.com/watch?v=Zt_snmlE8Dg,English,TV Program,
QeECLSRJYak,https://www.youtube.com/watch?v=QeECLSRJYak,Non-Verbal,TV Program,
8mRyCxpumOY,https://www.youtube.com/watch?v=8mRyCxpumOY,English,TV Program,verval
oDSEGkT6J-0,https://www.youtube.com/watch?v=oDSEGkT6J-0,"Korean,English",TV Program,"music(eng,kor)"
R3Fwdnij49o,https://www.youtube.com/watch?v=R3Fwdnij49o,Korean,TV Program,music video(kor)
4LsNMs6usUQ,https://www.youtube.com/watch?v=4LsNMs6usUQ,"Korean,English",Music,"korean hiphop(eng,kor)"
luQwXvSR22g,https://www.youtube.com/watch?v=luQwXvSR22g,"Korean,English",TV Program,
ZF01v7W3Zx4,https://www.youtube.com/watch?v=ZF01v7W3Zx4,"Korean,English",TV Program,
3ZUL9il_beI,https://www.youtube.com/watch?v=3ZUL9il_beI,"Korean,English",Cooking,"cooking show(kor,verbal)"
0KQDhi7ddrk,https://www.youtube.com/watch?v=0KQDhi7ddrk,Korean,Cooking,
cnCrE161CsQ,https://www.youtube.com/watch?v=cnCrE161CsQ,Korean,Cooking,
cjG_zEREUnU,https://www.youtube.com/watch?v=cjG_zEREUnU,Korean,Cooking,
dSZVJ4EFluA,https://www.youtube.com/watch?v=dSZVJ4EFluA,Korean,Cooking,
IwH1FLOE0nM,https://www.youtube.com/watch?v=IwH1FLOE0nM,Korean,Cooking,
Pv_5VTrHyqY,https://www.youtube.com/watch?v=Pv_5VTrHyqY,English,Cooking,hell's kitchen(verbal)
H8On7sHjsng,https://www.youtube.com/watch?v=H8On7sHjsng,English,Cooking,
VRnEpEcWieU,https://www.youtube.com/watch?v=VRnEpEcWieU,English,Cooking,
aXhJcdXPyYI,https://www.youtube.com/watch?v=aXhJcdXPyYI,English,Cooking,recipe(eng)
0sX_wDCbeuU,https://www.youtube.com/watch?v=0sX_wDCbeuU,English,Cooking,
nqsoMyxHTbc,https://www.youtube.com/watch?v=nqsoMyxHTbc,Korean,Cooking,recipe-kor(경상도 사투리)
SH7qePxg1DE,https://www.youtube.com/watch?v=SH7qePxg1DE,Korean,Cooking,
a3XPXqaxXhQ,https://www.youtube.com/watch?v=a3XPXqaxXhQ,Korean,Cooking,
AOnT6ff8Rg4,https://www.youtube.com/watch?v=AOnT6ff8Rg4,Korean,Cooking,recipe-kor(표준어)
RcvbhvFX8Vk,https://www.youtube.com/watch?v=RcvbhvFX8Vk,Korean,Cooking,
t4Es8mwdYlE,https://www.youtube.com/watch?v=t4Es8mwdYlE,Korean,Cooking,recipe-kor(충청도 사투리)
qWbHSOplcvY,https://www.youtube.com/watch?v=qWbHSOplcvY,Korean,Cooking,
kR77WlHRZrs,https://www.youtube.com/watch?v=kR77WlHRZrs,Korean,Cooking,
PSGKK1YXg5g,https://www.youtube.com/watch?v=PSGKK1YXg5g,Korean,Tutorial,making stuffs(verbal)
1FpXxlXtnLE,https://www.youtube.com/watch?v=1FpXxlXtnLE,Korean,Tutorial,
Iw1kTFOil4w,https://www.youtube.com/watch?v=Iw1kTFOil4w,Korean,Tutorial,
Iht1z8kpQRA,https://www.youtube.com/watch?v=Iht1z8kpQRA,English,Tutorial,non verbal
AB280KRbIPI,https://www.youtube.com/watch?v=AB280KRbIPI,Non-Verbal,Trailer,art film(non verbal)
vbH4Lk5wYWg,https://www.youtube.com/watch?v=vbH4Lk5wYWg,"Korean,English",Trailer,"verbal(kor,eng)"
iq-ivLY_9A8,https://www.youtube.com/watch?v=iq-ivLY_9A8,"Korean,English",Trailer,
3pzu8Ej-xhQ,https://www.youtube.com/watch?v=3pzu8Ej-xhQ,"Korean,English,Japanese",Trailer,"multilingual(kor,eng,jap)"
i8fRCkq5tbw,https://www.youtube.com/watch?v=i8fRCkq5tbw,"Korean,English,Japanese",Trailer,"multilingual(kor,eng,jap)"
J-bEGflpV9k,https://www.youtube.com/watch?v=J-bEGflpV9k,"Korean,English",Music,"kor,eng"
YDXOioU_OKM,https://www.youtube.com/watch?v=YDXOioU_OKM,Non-Verbal,Animation,non-verbal
PDHIyrfMl_U,https://www.youtube.com/watch?v=PDHIyrfMl_U,Non-Verbal,Animation,
41BX9zn_qZo,https://www.youtube.com/watch?v=41BX9zn_qZo,English,Animation,
0PC8YGp_oRc,https://www.youtube.com/watch?v=0PC8YGp_oRc,"Korean,English",Vlog,"vlog-verbal(kor,eng)"
byoFWzX-3ks,https://www.youtube.com/watch?v=byoFWzX-3ks,"Korean,English",Vlog,
_eLddzLagsg,https://www.youtube.com/watch?v=_eLddzLagsg,"Korean,English",Vlog,
UEnd1qPEbYI,https://www.youtube.com/watch?v=UEnd1qPEbYI,"Korean,English",Vlog,
Axu_zepXHRA,https://www.youtube.com/watch?v=Axu_zepXHRA,"Korean,English",Vlog,
6y_g7UQd2sY,https://www.youtube.com/watch?v=6y_g7UQd2sY,Korean,TV Program,"dance battle-verbal(kor,eng)"
nehtk5x_kM4,https://www.youtube.com/watch?v=nehtk5x_kM4,"Korean,English",TV Program,
QnOkk3Uj1wA,https://www.youtube.com/watch?v=QnOkk3Uj1wA,"Korean,English",TV Program,"multilingual(kor,eng,jap)"
oOgQzX2r_Bk,https://www.youtube.com/watch?v=oOgQzX2r_Bk,Korean,TV Program,kor
Y4jTVYwtnmA,https://www.youtube.com/watch?v=Y4jTVYwtnmA,Korean,TV Program,
dFlUIuIUPSQ,https://www.youtube.com/watch?v=dFlUIuIUPSQ,Korean,TV Program,
ctLyL5EWTFU,https://www.youtube.com/watch?v=ctLyL5EWTFU,English,Performance,eng
2AWVn12tJPw,https://www.youtube.com/watch?v=2AWVn12tJPw,English,Performance,
Xw6k6Ma0oqo,https://www.youtube.com/watch?v=Xw6k6Ma0oqo,English,Performance,
2_QOW4ovIbI,https://www.youtube.com/watch?v=2_QOW4ovIbI,Korean,TV Program,k drama(verbal)
EzId_bSqUvE,https://www.youtube.com/watch?v=EzId_bSqUvE,Korean,TV Program,
kFXyJtCKrmY,https://www.youtube.com/watch?v=kFXyJtCKrmY,Korean,TV Program,
amFQRyyXM24,https://www.youtube.com/watch?v=amFQRyyXM24,Korean,TV Program,발표(kor)
wMxeNpX-l48,https://www.youtube.com/watch?v=wMxeNpX-l48,Korean,TV Program,
A_zuHvBlvkA,https://www.youtube.com/watch?v=A_zuHvBlvkA,Korean,Speech,speech(세상을 바꾸는 시간)
7wHeV4nLtj8,https://www.youtube.com/watch?v=7wHeV4nLtj8,Korean,Speech,
MenYHcLC16M,https://www.youtube.com/watch?v=MenYHcLC16M,Korean,Speech,
IQJzVFUbGU4,https://www.youtube.com/watch?v=IQJzVFUbGU4,Korean,Speech,
QFqokhs47l0,https://www.youtube.com/watch?v=QFqokhs47l0,Korean,Speech,
Fc5MBVRj1q0,https://www.youtube.com/watch?v=Fc5MBVRj1q0,Korean,Speech,
xCRQW9gqz4g,https://www.youtube.com/watch?v=xCRQW9gqz4g,Korean,Speech,"한국대통령 연설,verbal(kor)"
mEZTiQojg68,https://www.youtube.com/watch?v=mEZTiQojg68,Korean,Speech,
acSbVFVxTHo,https://www.youtube.com/watch?v=acSbVFVxTHo,Korean,Speech,
ZhJ-LAQ6e_Y,https://www.youtube.com/watch?v=ZhJ-LAQ6e_Y,English,Speech,"bts speech,eng"
arj7oStGLkU,https://www.youtube.com/watch?v=arj7oStGLkU,English,Speech,TED speech(verbal.eng)
8KkKuTCFvzI,https://www.youtube.com/watch?v=8KkKuTCFvzI,English,Speech,
_QdPW8JrYzQ,https://www.youtube.com/watch?v=_QdPW8JrYzQ,English,Speech,
GZGY0wPAnus,https://www.youtube.com/watch?v=GZGY0wPAnus,English,Speech,
eIho2S0ZahI,https://www.youtube.com/watch?v=eIho2S0ZahI,English,Speech,
6Af6b_wyiwI,https://www.youtube.com/watch?v=6Af6b_wyiwI,English,Speech,
UF8uR6Z6KLc,https://www.youtube.com/watch?v=UF8uR6Z6KLc,English,Speech,speech(eng)
2pnnWp1lNps,https://www.youtube.com/watch?v=2pnnWp1lNps,English,Speech,
S4lTtvlFvyk,https://www.youtube.com/watch?v=S4lTtvlFvyk,English,Speech,
Up6tk1hliIM,https://www.youtube.com/watch?v=Up6tk1hliIM,English,Speech,
tjmjBDOq9Rc,https://www.youtube.com/watch?v=tjmjBDOq9Rc,English,Speech,
kBdfcR-8hEY,https://www.youtube.com/watch?v=kBdfcR-8hEY,English,Lecture,
ioyt7tYiNQY,https://www.youtube.com/watch?v=ioyt7tYiNQY,Korean,Speech,"발표(kor),non professional"
W_w7CLMkqzo,https://www.youtube.com/watch?v=W_w7CLMkqzo,Korean,Speech,
W0aDQoUjQkw,https://www.youtube.com/watch?v=W0aDQoUjQkw,Korean,Speech,
0DkXXQthf2M,https://www.youtube.com/watch?v=0DkXXQthf2M,Korean,Speech,
WBdEbJrBfrU,https://www.youtube.com/watch?v=WBdEbJrBfrU,Korean,Speech,
p__0WedKBQk,https://www.youtube.com/watch?v=p__0WedKBQk,Korean,TV Program,"korean comedy show,verbal(kor),old"
fBmtuvCrXHY,https://www.youtube.com/watch?v=fBmtuvCrXHY,Korean,TV Program,
TZARpmaZc-8,https://www.youtube.com/watch?v=TZARpmaZc-8,Korean,TV Program,
wYDkAP_JuTM,https://www.youtube.com/watch?v=wYDkAP_JuTM,Korean,TV Program,
igPe6WYOll0,https://www.youtube.com/watch?v=igPe6WYOll0,Korean,TV Program,"quiz show 우리말겨루기 -verbal(kor,eng),kor spoken by non korean"
nqvqg4FqK8g,https://www.youtube.com/watch?v=nqvqg4FqK8g,Korean,TV Program,
u8p7VwMx8J4,https://www.youtube.com/watch?v=u8p7VwMx8J4,Korean,TV Program,
BF6JeWnoWSc,https://www.youtube.com/watch?v=BF6JeWnoWSc,Korean,TV Program,"quiz show도전골든벨,verbal(kor)"
PQmVEVAK9zM,https://www.youtube.com/watch?v=PQmVEVAK9zM,Korean,TV Program,
